iter	Accuracy	Logloss
0	0.7538249166	0.6435356492
1	0.7645231796	0.6069705239
2	0.7671689865	0.5848863014
3	0.767744162	0.5594568322
4	0.7734959163	0.5379820419
5	0.7807431267	0.5213584232
6	0.786609916	0.5090705916
7	0.7875301967	0.4981638344
8	0.787875302	0.4880417475
9	0.7893707581	0.477461417
10	0.79190153	0.4712430404
11	0.7945473369	0.4643666416
12	0.7940871966	0.459234049
13	0.7962728632	0.4528650562
14	0.7974232141	0.4485917353
15	0.7993788105	0.4450259646
16	0.8006441965	0.4405394334
17	0.8015644772	0.4373858413
18	0.8022546877	0.4351035929
19	0.8031749684	0.4331629336
20	0.8047854596	0.4299961796
21	0.8042102841	0.4275017779
22	0.8060508455	0.420698683
23	0.8060508455	0.4192165731
24	0.8076613367	0.4165397759
25	0.8088116876	0.4147370743
26	0.8095018981	0.4126778091
27	0.8108823191	0.411408276
28	0.8106522489	0.4101120525
29	0.8112274244	0.4086211807
30	0.8116875647	0.407469857
31	0.81203267	0.4060957357
32	0.8116875647	0.4048173278
33	0.81203267	0.4030097268
34	0.8127228805	0.4017177922
35	0.8127228805	0.400232988
36	0.8128379156	0.3993621801
37	0.8128379156	0.3984743407
38	0.8129529506	0.3972015726
39	0.8139882664	0.393349651
40	0.8138732313	0.3918476412
41	0.8146784769	0.3904168586
42	0.8146784769	0.3896790078
43	0.8146784769	0.3893501825
44	0.8146784769	0.3878236789
45	0.816058898	0.3855500588
46	0.816173933	0.38325109
47	0.8165190383	0.3821349396
48	0.8162889681	0.3812512542
49	0.817439319	0.3802612302
50	0.8185896698	0.3791325274
51	0.8189347751	0.3784847469
52	0.8189347751	0.3778466787
53	0.81881974	0.3771891858
54	0.81881974	0.3763453603
55	0.8204302312	0.3751932942
56	0.8207753365	0.3741156965
57	0.8212354768	0.3731121193
58	0.8207753365	0.3720392732
59	0.8215805821	0.3714770841
60	0.8220407224	0.37098666
61	0.8223858277	0.3701659194
62	0.8219256873	0.3694594208
63	0.8223858277	0.3687883991
64	0.8229610031	0.3683004969
65	0.824226389	0.3668232998
66	0.824226389	0.3663894501
67	0.8244564592	0.3652348182
68	0.824111354	0.3646565699
69	0.8249165996	0.3639699497
70	0.8257218452	0.362757056
71	0.8252617048	0.3623353329
72	0.8262970206	0.361515138
73	0.826872196	0.3609150815
74	0.8266421258	0.3604166522
75	0.8271022662	0.3596115026
76	0.8290578626	0.3586648265
77	0.829518003	0.3578757451
78	0.829518003	0.3570154362
79	0.8302082135	0.3564431016
80	0.8303232486	0.3554170292
81	0.8305533188	0.3548218292
82	0.8319337398	0.354264749
83	0.8328540205	0.3537627601
84	0.8333141608	0.3533102221
85	0.8331991257	0.3527700802
86	0.8329690556	0.3523734642
87	0.8341194064	0.3516115443
