iter	Passed	Remaining
0	2	591
1	5	565
2	7	519
3	10	504
4	12	491
5	15	496
6	17	494
7	20	491
8	23	495
9	26	498
10	28	493
11	31	496
12	34	493
13	37	492
14	39	489
15	42	485
16	44	482
17	47	482
18	50	479
19	53	477
20	55	476
21	58	473
22	61	472
23	63	468
24	66	464
25	69	463
26	71	460
27	74	457
28	77	454
29	79	452
30	82	449
31	85	447
32	89	450
33	91	446
34	94	446
35	97	444
36	99	440
37	102	438
38	105	435
39	108	432
40	110	430
41	113	427
42	116	424
43	118	421
44	121	418
45	124	415
46	126	413
47	129	410
48	132	408
49	135	405
50	137	401
51	140	398
52	142	395
53	145	393
54	148	390
55	150	387
56	153	384
57	156	382
58	158	379
59	161	376
60	164	374
61	166	371
62	169	368
63	172	366
64	175	363
65	177	360
66	180	358
67	182	355
68	185	351
69	188	349
70	190	346
71	193	343
72	195	340
73	198	337
74	200	334
75	203	332
76	206	329
77	208	326
78	211	324
79	214	321
80	216	318
81	219	315
82	221	312
83	224	309
84	227	307
85	229	304
86	232	301
87	234	298
88	237	296
89	239	293
90	242	290
91	245	287
92	247	284
93	250	282
94	253	279
95	255	276
96	258	274
97	260	271
98	263	268
99	266	266
100	268	263
101	272	261
102	275	259
103	277	256
104	280	253
105	283	251
106	286	249
107	289	246
108	292	244
109	295	241
110	298	239
111	301	236
112	303	233
113	307	231
114	309	228
115	312	226
116	314	223
117	317	220
118	320	217
119	323	215
120	325	212
121	328	209
122	330	206
123	333	204
124	335	201
125	338	199
126	341	196
127	344	193
128	347	191
129	349	188
130	352	185
131	355	182
132	357	180
133	359	177
134	362	174
135	365	171
136	367	169
137	370	166
138	373	163
139	376	161
140	378	158
141	381	155
142	383	153
143	386	150
144	389	147
145	393	145
146	395	142
147	398	140
148	402	137
149	405	135
150	408	132
151	411	129
152	413	127
153	416	124
154	420	122
155	422	119
156	425	116
157	428	113
158	430	111
159	433	108
160	435	105
161	438	102
162	440	100
163	443	97
164	445	94
165	448	91
166	450	89
167	453	86
168	456	83
169	459	81
170	462	78
171	464	75
172	467	72
173	469	70
174	472	67
175	474	64
176	477	62
177	479	59
178	482	56
179	484	53
180	487	51
181	489	48
182	492	45
183	495	43
184	497	40
185	500	37
186	502	34
187	505	32
188	507	29
189	510	26
190	512	24
191	515	21
192	518	18
193	521	16
194	523	13
195	526	10
196	529	8
197	532	5
198	534	2
199	537	0
